Date,Open,High,Low,Close,Adj Close,Volume
1996-06-12,9.230000,9.230000,9.230000,9.230000,2.373766,0
1996-06-13,9.250000,9.250000,9.250000,9.250000,2.378908,0
1996-06-14,9.290000,9.290000,9.290000,9.290000,2.389198,0
1996-06-17,9.310000,9.310000,9.310000,9.310000,2.394342,0
1996-06-18,9.300000,9.300000,9.300000,9.300000,2.391771,0
1996-06-19,9.290000,9.290000,9.290000,9.290000,2.389198,0
1996-06-20,9.290000,9.290000,9.290000,9.290000,2.389198,0
1996-06-21,9.300000,9.300000,9.300000,9.300000,2.391771,0
1996-06-24,9.310000,9.310000,9.310000,9.310000,2.394342,0
1996-06-25,9.320000,9.320000,9.320000,9.320000,2.396914,0
1996-06-26,9.320000,9.320000,9.320000,9.320000,2.396914,0
1996-06-27,9.360000,9.360000,9.360000,9.360000,2.407200,0
1996-06-28,9.360000,9.360000,9.360000,9.360000,2.422729,0
1996-07-01,9.360000,9.360000,9.360000,9.360000,2.422729,0
1996-07-02,9.340000,9.340000,9.340000,9.340000,2.417554,0
1996-07-03,9.740000,9.740000,9.740000,9.740000,2.521092,0
1996-07-05,9.250000,9.250000,9.250000,9.250000,2.394257,0
1996-07-08,9.210000,9.210000,9.210000,9.210000,2.383905,0
1996-07-09,9.240000,9.240000,9.240000,9.240000,2.391670,0
1996-07-10,9.270000,9.270000,9.270000,9.270000,2.399435,0
1996-07-11,9.290000,9.290000,9.290000,9.290000,2.404611,0
1996-07-12,9.310000,9.310000,9.310000,9.310000,2.409788,0
1996-07-15,9.300000,9.300000,9.300000,9.300000,2.407202,0
1996-07-16,9.320000,9.320000,9.320000,9.320000,2.412376,0
1996-07-17,9.320000,9.320000,9.320000,9.320000,2.412376,0
1996-07-18,9.390000,9.390000,9.390000,9.390000,2.430496,0
1996-07-19,9.360000,9.360000,9.360000,9.360000,2.422729,0
1996-07-22,9.340000,9.340000,9.340000,9.340000,2.417554,0
1996-07-23,9.360000,9.360000,9.360000,9.360000,2.422729,0
1996-07-24,9.330000,9.330000,9.330000,9.330000,2.414965,0
1996-07-25,9.330000,9.330000,9.330000,9.330000,2.414965,0
1996-07-26,9.340000,9.340000,9.340000,9.340000,2.417554,0
1996-07-29,9.320000,9.320000,9.320000,9.320000,2.412376,0
1996-07-30,9.340000,9.340000,9.340000,9.340000,2.417554,0
1996-07-31,9.310000,9.310000,9.310000,9.310000,2.425368,0
1996-08-01,9.370000,9.370000,9.370000,9.370000,2.440997,0
1996-08-02,9.450000,9.450000,9.450000,9.450000,2.461838,0
1996-08-05,9.440000,9.440000,9.440000,9.440000,2.459235,0
1996-08-06,9.440000,9.440000,9.440000,9.440000,2.459235,0
1996-08-07,9.440000,9.440000,9.440000,9.440000,2.459235,0
1996-08-08,9.430000,9.430000,9.430000,9.430000,2.456629,0
1996-08-09,9.470000,9.470000,9.470000,9.470000,2.467050,0
1996-08-12,9.470000,9.470000,9.470000,9.470000,2.467050,0
